variant_id,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count
6,8,8,128,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.0588235294117647,8.0,136.0
6,8,8,128,chirp,psk,combined_drift_timing,not_reached,0,3,0.2421875,0.7578125,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,chirp,psk,moderate_negative_drift,not_reached,0,3,0.5885416666666666,0.4114583333333333,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,chirp,psk,moderate_positive_drift,not_reached,0,3,0.5859375,0.4140625,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,chirp,psk,severe_positive_drift,not_reached,0,3,0.5520833333333334,0.4479166666666667,0.0,1.0,750.0,0.0588235294117647,8.0,136.0
6,8,8,128,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.0588235294117647,8.0,136.0
6,8,8,128,sine,psk,combined_drift_timing,not_reached,0,3,0.06510416666666667,0.9348958333333334,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,sine,psk,moderate_negative_drift,not_reached,0,3,0.5130208333333334,0.4869791666666667,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,sine,psk,moderate_positive_drift,not_reached,0,3,0.5052083333333334,0.4947916666666667,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,sine,psk,severe_positive_drift,not_reached,0,3,0.6536458333333334,0.3463541666666667,0.0,1.0,750.0,0.0588235294117647,8.0,136.0
6,8,8,128,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.0588235294117647,8.0,136.0
6,8,8,128,square,psk,combined_drift_timing,not_reached,0,3,0.1171875,0.8828125,0.0,1.0,316.6666666666667,0.0588235294117647,8.0,136.0
6,8,8,128,square,psk,moderate_negative_drift,not_reached,0,3,0.4895833333333333,0.5104166666666666,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,square,psk,moderate_positive_drift,not_reached,0,3,0.5286458333333334,0.4713541666666667,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
6,8,8,128,square,psk,severe_positive_drift,not_reached,0,3,0.6692708333333334,0.3307291666666667,0.0,1.0,750.0,0.0588235294117647,8.0,136.0
7,16,4,32,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1794871794871795,28.0,156.0
7,16,4,32,chirp,psk,combined_drift_timing,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,chirp,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,chirp,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1794871794871795,28.0,156.0
7,16,4,32,sine,psk,combined_drift_timing,4.0,1,3,0.0859375,0.9140625,0.3333333333333333,1.0,183.33333333333334,0.1794871794871795,28.0,156.0
7,16,4,32,sine,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,sine,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,sine,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1794871794871795,28.0,156.0
7,16,4,32,square,psk,combined_drift_timing,not_reached,0,3,0.19791666666666666,0.8020833333333334,0.0,1.0,450.0,0.1794871794871795,28.0,156.0
7,16,4,32,square,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,square,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
7,16,4,32,square,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1794871794871795,28.0,156.0
8,16,4,64,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.13513513513513514,20.0,148.0
8,16,4,64,chirp,psk,combined_drift_timing,not_reached,0,3,0.3359375,0.6640625,0.0,1.0,450.0,0.13513513513513514,20.0,148.0
8,16,4,64,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
8,16,4,64,chirp,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
8,16,4,64,chirp,psk,severe_positive_drift,not_reached,0,3,0.6067708333333334,0.3932291666666667,0.0,1.0,1150.0,0.13513513513513514,20.0,148.0
8,16,4,64,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.13513513513513514,20.0,148.0
8,16,4,64,sine,psk,combined_drift_timing,not_reached,0,3,0.17447916666666666,0.8255208333333334,0.0,1.0,450.0,0.13513513513513514,20.0,148.0
8,16,4,64,sine,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
8,16,4,64,sine,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
8,16,4,64,sine,psk,severe_positive_drift,not_reached,0,3,0.5052083333333334,0.4947916666666667,0.0,1.0,750.0,0.13513513513513514,20.0,148.0
8,16,4,64,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.13513513513513514,20.0,148.0
8,16,4,64,square,psk,combined_drift_timing,not_reached,0,3,0.09895833333333333,0.9010416666666666,0.0,1.0,416.6666666666667,0.13513513513513514,20.0,148.0
8,16,4,64,square,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
