variant_id,protocol_label,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,actual_frequency_drift_ppm,actual_timing_offset_samples,snr_db,trials,payload_bit_count,mean_sync_bits,mean_frame_bit_count,mean_pilot_count,mean_overhead_ratio,mean_bit_error_rate,ber_ci95_half_width,ber_ci95_upper,mean_accuracy,accuracy_ci95_lower,success_rate,mean_sync_ber,mean_pilot_ber,mean_pilot_match_rate,mean_abs_frequency_correction_error_ppm,mean_selected_frequency_correction_ppm,mean_selected_offset_samples,sample_payload,sample_decoded_text
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,combined_drift_timing,450.0,5,-4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.00390625,0.0025060960831789748,0.006412346083178975,0.99609375,0.993587653916821,0.875,0.0,0.0,1.0,50.0,400.0,-2.125,EE Q2B5JACYRJVZ A6541ZE8OAY4H 8W,EE �2B5JACYRJVZ A6541ZE8OAY4H 8W
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,combined_drift_timing,450.0,5,0.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.00048828125,0.0009570312499999999,0.0014453125,0.99951171875,0.9985546875,1.0,0.0,0.0,1.0,50.0,400.0,-2.0,330KVOS_KK 9OF075N-43RA1PPU1-O-J,330KVOS_KK 9OF075N-43RA1PPU1-O-J
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,combined_drift_timing,450.0,5,4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,400.0,-2.0,UD_M-7ORMBF82F6ZM5U__6DXZJ1XYXAS,UD_M-7ORMBF82F6ZM5U__6DXZJ1XYXAS
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,combined_drift_timing,450.0,5,8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,400.0,-2.0,2GLWY1N6O0HUH3H7I5XS9CFU5HYS3_T2,2GLWY1N6O0HUH3H7I5XS9CFU5HYS3_T2
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,multipath_echo,0.0,0,-8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.00048828125,0.0009570312499999999,0.0014453125,0.99951171875,0.9985546875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9LB7L 5N3R81 D7MX3JPJT10UEN0RSKQ,9LB7L 5N3R81 D7MX3JPJT10UEN0RSKQ
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,multipath_echo,0.0,0,-4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,IUZNY1_QEG9DDVP4W__CAQ6YTZXI9C-L,IUZNY1_QEG9DDVP4W__CAQ6YTZXI9C-L
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,multipath_echo,0.0,0,0.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,K43Z_5TXZTFIIAMHBMBN4JP18MFT3J41,K43Z_5TXZTFIIAMHBMBN4JP18MFT3J41
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,multipath_echo,0.0,0,4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,BB8-QPT16HDXQ6WHDH2T A3VP- 8_OWT,BB8-QPT16HDXQ6WHDH2T A3VP- 8_OWT
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,multipath_echo,0.0,0,8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,IT 02F6NJX8KP8192CA3SKAD4R_QYWN-,IT 02F6NJX8KP8192CA3SKAD4R_QYWN-
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,narrowband_interference,0.0,0,-8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0009765625,0.0012530480415894874,0.0022296105415894876,0.9990234375,0.9977703894584106,1.0,0.0,0.0,1.0,0.0,0.0,0.0,CDIT-16WT-8JJ4T_VSXA7-JDP69D1WMM,CDIT-16WT-8JJ4T_VSXA7-JDP69D1�MM
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,narrowband_interference,0.0,0,-4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,UM10N229BXI ITA5WVO01Z8TU-B CIJV,UM10N229BXI ITA5WVO01Z8TU-B CIJV
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,narrowband_interference,0.0,0,0.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,UAYN3OERXCEN0T_5G8 KQG_UYIVLU4EV,UAYN3OERXCEN0T_5G8 KQG_UYIVLU4EV
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,narrowband_interference,0.0,0,4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2 NLMDLMQ02GKFSFYHREVB-P45GADRA-,2 NLMDLMQ02GKFSFYHREVB-P45GADRA-
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,narrowband_interference,0.0,0,8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4LDH6V-1JZPCHPZ5T_LYF3YR2XAHHFH5,4LDH6V-1JZPCHPZ5T_LYF3YR2XAHHFH5
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,baseline_awgn,0.0,0,-8.0,8,256,44.0,300.0,7.0,0.14666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,68HZAMA18WP7_C_2K7OLEXI6WD15YKXH,68HZAMA18WP7_C_2K7OLEXI6WD15YKXH
